"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","totalやdoneが未定義やnullでも0%として返されること_2","chromium","2025-12-13","passed","2025-12-13","APIテスト > done_rateの計算処理 > 異常系","e2e/mypage/mypage-api.spec.ts","",""
"","1161","タスクがN件表示されていること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 一覧表示：タスクN件","e2e/tasks/tasks-list.spec.ts","",""
"","169","パスワードのみ不正でログインエラーが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン > 動作（異常系） > 不正","e2e/auth/login.spec.ts","",""
"","277","ログイン認証保持：user12","setup","2025-12-13","passed","2025-12-13","","ci/helpers/auth.setup.ts","",""
"","227","マイページ（/mypage）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","149","タスクが1件も表示されていないこと","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 一覧表示：タスク0件","e2e/tasks/tasks-list.spec.ts","",""
"","279","ログイン認証保持：user1","setup","2025-12-13","passed","2025-12-13","","e2e/helpers/auth.setup.ts","",""
"","335","タスク編集画面_ID有（/edit/id）に遷移すること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 画面遷移","e2e/smoke/all-pages-smoke.spec.ts","",""
"","304","編集ボタン押下で編集画面に遷移すること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 動作","e2e/tasks/tasks-list.spec.ts","",""
"","451","完了済みタスクの編集画面の表示が正しいこと","chromium","2025-12-13","passed","2025-12-13","タスク編集画面 > 表示","e2e/tasks/tasks-edit.spec.ts","",""
"","141","基本要素が表示されていること","chromium","2025-12-13","passed","2025-12-13","ログイン","e2e/auth/login.spec.ts","",""
"","319","戻るボタン押下でタスク一覧画面に遷移すること","chromium","2025-12-13","passed","2025-12-13","マイページ > 基本動作確認","e2e/mypage/mypage-basic.spec.ts","",""
"","270","削除ボタン押下でタスク削除が実行されること","chromium","2025-12-13","passed","2025-12-13","タスク一覧画面 > 動作","e2e/tasks/tasks-list.spec.ts","",""
"","141","タスク一覧（/）はログイン画面にリダイレクトされること","chromium","2025-12-13","passed","2025-12-13","未ログイン状態 > 画面遷移","ci/smoke/all-pages-smoke.spec.ts","",""
"","296","タスク削除_ID有（/delete/id）はタスク削除が実行されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 操作系URLへの直接アクセス","ci/smoke/all-pages-smoke.spec.ts","",""
"","98","タスク削除_存在しないID(/delete/id)はNotFoundが表示されること","chromium","2025-12-13","passed","2025-12-13","ログイン状態 > 異常系","ci/smoke/all-pages-smoke.spec.ts","",""
"","4","ログインなしでは302が返ること","chromium","2025-12-13","passed","2025-12-13","APIテスト > ステータスコード > 正常系","e2e/mypage/mypage-api.spec.ts","",""
